cia_id,ofac_id,cia_name,ofac_name,cia_country,ofac_nationality,name_score,recommended_action
151f7c69-018e-5415-a4f3-dec4847a0cbb,63454828-80f4-55d1-9c53-0274ab420b32,mohamed saeed,saeed montazerolmehdi,Maldives,ir,70.59,REVIEW
61e7720d-b884-5f01-be53-605701f1da08,02b69b17-b0c4-56b5-9133-0f30a42d7617,ali haidar ahmed,ali ahmad kaddoura,Maldives,lb,70.59,REVIEW
b4fd7a0c-c5d1-50fe-a8ed-3a39360f756d,e8a3460d-5e68-56dd-92b5-b68fd497f603,ibrahim faisal,ali ibrahim al-watfa,Maldives,,70.59,REVIEW
b4fd7a0c-c5d1-50fe-a8ed-3a39360f756d,0cb65015-7bab-5b0f-a9ba-9295cfc49e0c,ibrahim faisal,ibrahim ali alhassan,Maldives,ng,70.59,REVIEW
df1fd7d2-8a3c-5608-b8f7-e89a90550c7d,1223b7e2-ff8c-5aca-94c1-b2b1e3870cc2,ibrahim waheed,muhammed ibrahim isa,Maldives,ng,70.59,REVIEW
b7c878f1-ff17-5033-8e09-b96f9d59f372,1607cb3a-30a4-5337-9451-1e8aed958030,ali naseer mohamed,mohamed thasleem,Maldives,mv,70.59,REVIEW
5d69b9ff-8c13-525c-8ffb-9443b3cf4ba6,6de858cf-5b0d-55e0-b747-c1c4b6790cf7,vladimir jokovic,vladimir lazarevic,Montenegro,,70.59,REVIEW
5d69b9ff-8c13-525c-8ffb-9443b3cf4ba6,195d171b-3ea6-5561-8b0c-c6fe96b83db7,vladimir jokovic,vladimir kulemekov,Montenegro,ru,70.59,REVIEW
258aef9c-4ab7-528f-98f2-c373472c29d3,9491e1ba-bfae-5037-9f60-5cc8888159fa,lara erab daniel,lucas daniel paura,Nauru,ar,70.59,REVIEW
258aef9c-4ab7-528f-98f2-c373472c29d3,c7b3a461-22d5-55b3-960d-563ebb778d0c,lara erab daniel,daniel perez rojas,Nauru,mx,70.59,REVIEW
409799da-1aa1-54a0-b5cf-9c5e2a00d2f1,9e3f8a27-3fc9-5665-bcd7-0739376f6ea7,maizama abdoulaye,abdoulaye miskine,Niger,td,70.59,REVIEW
6512ab0b-9c59-5a90-8fe6-6b49e3bbc04f,07cb8928-37ae-527a-b479-300ea76f5eb7,abubakar kyari,abubakar adam kambar,Nigeria,,70.59,REVIEW
e6e0c5ee-2d29-592e-81d8-eacdbd9baac7,443935ad-b187-5b9d-b943-8b56d522dbb9,ali pate,ali saade,Nigeria,lb,70.59,REVIEW
f13dee76-54b1-5b28-97b3-0c2b51581b3a,9406c2bc-38c4-50f8-b342-09c4d35a25f8,badr bin hamad,muhammad badr-al-din,Oman,,70.59,REVIEW
416eb7e2-cfa3-52ec-8759-c3655a0b39d3,d5864712-e474-541e-bfff-6ed513b19169,qaiser ahmed sheikh,ahmed ali saleh,Pakistan,ye,70.59,REVIEW
5a13abd4-a847-5447-ad68-ca901dbd091a,971fb4b9-ba28-52fa-871a-346865fa318e,muhammad aurangzeb,kayiira muhammad,Pakistan,ug,70.59,REVIEW
7578ccc2-ed0a-533d-a9e2-3dca8892a23b,971fb4b9-ba28-52fa-871a-346865fa318e,muhammad ishaq dar,kayiira muhammad,Pakistan,ug,70.59,REVIEW
7578ccc2-ed0a-533d-a9e2-3dca8892a23b,68bbe1cf-00bd-5454-8936-65f8103f9dbf,muhammad ishaq dar,muhammad gaddafi,Pakistan,,70.59,REVIEW
7c9ae15c-e37f-5253-9d6a-e0fe7b1fa140,56055d4d-bbaf-5e8b-9e7b-b026764bb8dc,khalid hussain magsi,hussain shamil,Pakistan,mv,70.59,REVIEW
